날짜,일출(h),일몰(h),최소 온도,최대 온도,강수량(mm),풍속(m/s),습도(%),전운량(%),일사량(MJ/m^2)
20160101,7.6,17.367,-4,8,0,1,70.5,20,10.42
20160102,7.6,17.383,-2.7,9.9,0,0.7,74.8,26,8.27
20160103,7.6,17.383,-2.3,13.9,0,0.7,77,9,9.46
20160104,7.6,17.4,1.1,11.4,0,1.7,58.1,30,8.58
20160105,7.6,17.417,0.9,5.9,0,2.4,29.4,56,4.4
20160106,7.6,17.433,-0.8,5.8,0,3.4,47.5,41,9.37
20160107,7.6,17.45,-0.7,5.3,0,2.9,50.4,23,10.16
20160108,7.6,17.467,-1.8,4.5,0,3.3,49.4,16,10.64
20160109,7.6,17.483,-4.1,7.4,0,1.4,54.4,21,10.16
20160110,7.6,17.483,-3.9,8,0,1.6,58.6,16,9.84
20160111,7.6,17.5,-1.8,5.5,0,2.3,33.9,30,9.93
20160112,7.6,17.517,-5.9,5.2,0,2.2,38.1,15,11
20160113,7.6,17.533,-3.9,3.1,0,2.6,57.1,33,9.97
20160114,7.6,17.55,-3,3.9,0,2.6,56.1,24,9.89
20160115,7.583,17.567,-6,6.8,0,0.8,66.3,26,9.16
20160116,7.583,17.583,-4.8,8.3,0,0.8,68.9,34,6.95
20160117,7.583,17.6,-1.8,4.5,1,0.8,81.5,90,2.35
20160118,7.583,17.617,-5.1,3.7,0,4.8,62.1,65,7.28
20160119,7.567,17.633,-8.5,-3.6,0,5.3,46.8,18,11.42
20160120,7.567,17.65,-8.8,-1.8,0,2.9,49.5,30,8.82
20160121,7.55,17.667,-7.8,0.4,0,2.1,38.9,66,5.8
20160122,7.55,17.683,-5.2,1.6,0,3.1,32,46,10.06
20160123,7.533,17.7,-10.7,-2.3,0,4.2,37.6,43,9.47
20160124,7.533,17.717,-13,-7.6,0,3.7,49,5,12.26
20160125,7.517,17.733,-10.2,0.1,0,2.9,54.9,1,12.66
20160126,7.517,17.75,-5.5,4.9,0,2.4,59.5,14,11.78
20160127,7.5,17.767,-4.4,8.1,0,1,56.4,25,10.76
20160128,7.5,17.8,-4.4,2.5,7.6,0.4,76.1,89,1.52
20160129,7.483,17.817,-0.2,1.8,15.2,0.3,98,100,1.28
20160130,7.467,17.833,0,4.8,0,0.4,95,88,3.15
20160131,7.467,17.85,-1.5,4.2,0,1.9,61,61,9.13
20160201,7.45,17.867,-3.7,2.7,0,3.1,40.5,10,13.92
20160202,7.433,17.883,-5.3,3.9,0,2.4,43,0,14.35
20160203,7.417,17.9,-6.1,5.3,0,1.7,50.4,0,13.85
20160204,7.4,17.917,-2.4,6.5,0,2.3,48.4,39,10.34
20160205,7.4,17.933,-1.8,6,0,2.6,35,0,13.98
20160206,7.383,17.95,-4.4,4.5,0,2.6,41,8,13.89
20160207,7.367,17.967,-5.4,6.5,0,1.3,45.8,1,14.32
20160208,7.35,17.983,-5.6,8.9,0,1.7,46.8,18,12.64
20160209,7.333,18,-0.6,7.9,0,4.1,36,5,15.08
20160210,7.317,18.017,-4.3,11.9,0,0.9,50.4,0,14.81
20160211,7.3,18.033,-2.8,13.3,0,1.2,63.8,61,9.8
20160212,7.283,18.05,5.7,12.6,5,1.5,94,100,1.8
20160213,7.267,18.067,10.3,15.9,7.5,1.2,96.3,99,4.65
20160214,7.25,18.083,-2.2,15.6,0,5.1,62.9,68,10.52
20160215,7.233,18.1,-5.2,0.9,0,4.5,47,9,16.32
20160216,7.217,18.117,-2.4,4.9,0,3.5,56,58,11.27
20160217,7.2,18.133,-1.7,7.4,0,2.8,44.1,4,16.37
20160218,7.183,18.15,-2.7,10.6,0,1.1,57,20,12.56
20160219,7.15,18.167,-0.7,11.1,0,1.1,56.8,70,10.16
20160220,7.133,18.183,2.1,10.8,0,2.3,43.9,50,11.63
20160221,7.117,18.2,-1.4,6.6,0,3.1,36.4,19,16.95
20160222,7.1,18.217,-0.7,7.5,0,1,45.6,96,8.47
20160223,7.083,18.233,0.3,9.7,0,2.8,42.6,50,12.79
20160224,7.05,18.25,-1.8,4.6,0,2.6,45.5,38,10.54
20160225,7.033,18.267,-3.1,6.8,0,2.6,41.3,0,16.7
20160226,7.017,18.283,-2.2,8.4,0,1.2,68.3,65,10.63
20160227,7,18.3,1.5,12.3,0,1.6,66.8,49,12.32
20160228,6.967,18.317,1.6,15.3,3,2.4,66.9,71,8.87
20160229,6.95,18.333,-3.1,2.4,0,5.1,46.9,30,12.54
20160301,6.933,18.35,-4.6,5.7,0,3,41.9,0,18.57
20160302,6.9,18.367,-3.4,13.5,0,1.4,47.4,0,17.64
20160303,6.883,18.367,-1.5,17.5,0,1.2,54.5,0,17.33
20160304,6.867,18.383,4.2,9.4,11,2.2,91.6,95,2.36
20160305,6.833,18.4,7.6,17.2,27,3.9,89,95,6.33
20160306,6.817,18.417,8.1,19.1,11.5,1.4,73.1,50,9.51
20160307,6.8,18.433,6.7,17.4,0,2.9,64.9,41,15.38
20160308,6.767,18.45,7.1,10.6,0,2.6,41.1,86,4.62
20160309,6.75,18.467,4.2,12.2,0,2.1,46.8,59,14.71
20160310,6.733,18.483,0.3,7,0,4.2,35,36,18.27
20160311,6.7,18.5,-1.8,6.9,0,3.1,38.4,0,20.19
20160312,6.683,18.5,-1.8,9.8,0,2,40.1,24,18.9
20160313,6.65,18.517,2.2,9.3,0,1,50.9,88,8.02
20160314,6.633,18.533,2.2,12.1,0,2.5,56.1,15,17.91
20160315,6.617,18.55,-1.4,15.6,0,1.3,49.8,34,20.18
20160316,6.583,18.567,5.4,18.6,0,1.7,35.9,36,16.29
20160317,6.567,18.583,1.9,21.1,0,1.3,37,49,18.11
20160318,6.533,18.6,8.6,13.7,11.5,1.1,89.8,95,2.76
20160319,6.517,18.6,6.7,16.9,0,3,73.4,35,15.35
20160320,6.483,18.617,7.3,11.7,0,4.1,65.1,78,9.63
20160321,6.467,18.633,5.2,16.8,0,1.7,54.4,19,20.45
20160322,6.433,18.65,4.5,20.2,0,2.3,45,49,20.07
20160323,6.417,18.667,6.4,15.7,0,3.9,61.1,79,17.16
20160324,6.4,18.683,3,10.8,1.5,2.9,64.8,56,11.77
20160325,6.367,18.7,3.3,11.6,5,2.1,71.3,85,12.03
20160326,6.35,18.7,2.8,13.6,0,1.8,72.5,64,15.52
20160327,6.317,18.717,1.8,15.7,0,2.7,46.8,9,20.55
20160328,6.3,18.733,3.7,18.7,0,1.8,31.6,0,21.23
20160329,6.267,18.75,5.6,18.8,0,1.8,48.5,46,14.02
20160330,6.25,18.767,7.8,22.4,0,1.6,46.4,24,21.44
20160331,6.233,18.783,6.8,21.1,0,0.9,40.1,49,13
20160401,6.2,18.783,5.6,23.2,0,2.5,48.9,1,21.95
20160402,6.183,18.8,6.7,24.3,0,1.7,60.1,43,15.8
20160403,6.15,18.817,9.2,15.6,17,2.5,83.4,93,2.8
20160404,6.133,18.833,9,13.1,2,2.2,83,89,5.84
20160405,6.1,18.85,8.5,20.9,0,1.7,52.4,44,22.09
20160406,6.083,18.867,8.3,22.1,14.5,1.5,53.5,79,13.66
20160407,6.067,18.867,9.4,17.6,26.5,1.5,84.8,89,7.86
20160408,6.033,18.883,8.7,24.8,0,1.9,52.6,26,22.45
20160409,6.017,18.9,10.2,25.7,0,1.4,42,41,18.21
20160410,6,18.917,10.1,19.8,0,3.7,66.1,64,19.16
20160411,5.967,18.933,7.2,13.6,0,4.7,64.1,54,18.28
20160412,5.95,18.95,4,19.8,0.5,1.7,59.9,56,19.17
20160413,5.917,18.95,12.5,17.1,19.5,1.2,94.3,93,4.03
20160414,5.9,18.967,12.3,25.3,0,2.7,54.8,19,22.92
20160415,5.883,18.983,10.2,21.9,0,2.8,58.5,3,24.36
20160416,5.85,19,8,21,7.5,2.1,69.6,79,10.96
20160417,5.833,19.017,13.4,20.1,4.5,6.3,44.8,50,23.89
20160418,5.817,19.033,12,21.8,0,3.4,34.6,53,20.71
20160419,5.8,19.033,9.8,21,0,2.9,45,1,25.69
20160420,5.767,19.05,7.3,22.2,0,1.7,49.8,69,18.26
20160421,5.75,19.067,9.6,17,20,2.4,84.8,95,4.92
20160422,5.733,19.083,11.6,27.2,0,2,61.8,34,22.37
20160423,5.717,19.1,15.4,22.1,0,1.7,37.1,75,11.51
20160424,5.683,19.117,9.8,21.8,0,3.1,39.5,23,23.48
20160425,5.667,19.117,7.9,25.9,0,1.2,54,13,23.69
20160426,5.65,19.133,9.6,24.2,0,3.7,62,44,22.2
20160427,5.633,19.15,9.4,12.8,35.5,4.1,94.4,100,2.61
20160428,5.617,19.167,9.5,19.1,3.5,2.2,72.3,79,13.01
20160429,5.6,19.183,9.4,22.7,0,1.4,55.6,36,21.44
20160430,5.567,19.2,9.8,26.9,0,1.9,58.6,18,23.68
20160501,5.55,19.217,12.2,29.3,0,1.7,55.8,14,23.88
20160502,5.533,19.217,12.5,27,0.1,1.9,64,71,21.07
20160503,5.517,19.233,14.6,21.4,13,4,71.1,83,7.55
20160504,5.5,19.25,14.7,25,0,6.1,31.8,5,27.67
20160505,5.483,19.267,11.7,28,0,2.1,35.9,43,24.68
20160506,5.467,19.283,18.4,24,0,2,74.3,78,9.64
20160507,5.45,19.3,15.2,25.5,0,3.3,43.3,29,24.51
20160508,5.433,19.3,10.5,26.1,0,2,51.6,55,21.02
20160509,5.417,19.317,15.1,24.9,0,1.2,52,89,13.29
20160510,5.4,19.333,12,20.1,23.5,1.9,90.9,100,3.05
20160511,5.4,19.35,12.5,23.4,1,1.4,74.3,51,21.36
20160512,5.383,19.367,12.2,27.4,0,1.7,60.3,8,26.32
20160513,5.367,19.383,12.7,22.2,0,2.7,71,41,15.41
20160514,5.35,19.383,9.1,23.1,0,3.2,68.6,25,27.36
20160515,5.333,19.4,11.1,25.1,0.1,2.2,74.3,66,16.41
20160516,5.317,19.417,10.6,22.5,10.5,3.8,63.1,46,20.94
20160517,5.317,19.433,8.2,27.4,0,1.3,53.3,0,28.04
20160518,5.3,19.45,11.8,31.1,0,1.5,52.1,3,27.5
20160519,5.283,19.45,12.1,29.9,0,2.1,49.4,41,26.27
20160520,5.283,19.467,11.9,29.6,0,2.9,55.3,19,27.5
20160521,5.267,19.483,11.4,27.2,0,3,54.8,38,26.72
20160522,5.25,19.5,10.5,27.4,0,2.9,51.6,23,27.28
20160523,5.25,19.5,11.2,30.6,0,1.8,50.5,30,25.98
20160524,5.233,19.517,15.9,22.7,16.5,1.8,84.1,89,3.39
20160525,5.233,19.533,13.8,28,0,1.5,68,15,26.31
20160526,5.217,19.55,15.5,28.2,0,1.7,66.1,60,20.29
20160527,5.217,19.55,21.3,29.1,0,2,54.6,75,22.88
20160528,5.2,19.567,19.2,29.2,0,1.5,50.6,50,18.78
20160529,5.2,19.583,17.6,28.6,0.3,1.9,57.8,46,18.64
20160530,5.183,19.583,16.3,32.3,0,1.9,52.9,4,28.24
20160531,5.183,19.6,19.4,30.8,0,2.6,47.1,25,23.47
20160601,5.183,19.617,16.6,25.1,0,4.7,52,23,27.81
20160602,5.167,19.617,12.3,28,0,1.7,54.8,10,27.76
20160603,5.167,19.633,15.9,31.2,0,1.4,44.8,43,25.35
20160604,5.167,19.633,17.4,23,0.6,1.1,71,84,5.55
20160605,5.167,19.65,16.8,25.6,0,3.8,67.8,36,26.52
20160606,5.15,19.667,17.7,19.3,0.5,2.6,87.4,94,4.57
20160607,5.15,19.667,17.8,28.4,0,1.4,73.6,79,18.29
20160608,5.15,19.683,19.6,24.7,11.5,1.2,87,96,6.52
20160609,5.15,19.683,19.7,27.4,0,2.5,75.8,50,20.82
20160610,5.15,19.7,18.2,32.1,0,1.9,64.4,35,24.22
20160611,5.15,19.7,20.7,31.6,0,1.6,64.3,60,19.42
20160612,5.15,19.7,21.7,26.3,0.3,0.8,77.6,94,6.82
20160613,5.15,19.717,19.2,28.3,0.1,3.2,74.6,81,23.87
20160614,5.15,19.717,18.5,28.4,0.5,2.6,72.9,68,18.99
20160615,5.15,19.733,19.4,25.6,0.2,1.5,69.1,91,8.66
20160616,5.15,19.733,21.9,28.9,0.5,2.6,63.1,65,16.07
20160617,5.15,19.733,19.5,32,0,2.4,51,0,27.33
20160618,5.15,19.75,20.3,33.5,0,1.7,52.3,44,24.68
20160619,5.15,19.75,20.5,32.6,5.5,1.8,59.6,54,22.49
20160620,5.15,19.75,19.1,31.5,0.2,1.6,61.9,70,16.93
20160621,5.167,19.75,22,25.3,0,2.8,74,94,8.45
20160622,5.167,19.75,20.9,25.5,0.2,3.2,79.1,90,7.44
20160623,5.167,19.767,20.3,32.7,0,2.1,60.1,56,24.1
20160624,5.167,19.767,20.1,25.5,24.5,2.3,81,94,4.6
20160625,5.183,19.767,21,29.6,0,3.7,47.4,46,20.55
20160626,5.183,19.767,18.7,30.9,0,2.2,53.3,20,25.36
20160627,5.183,19.767,18.8,27.8,1,1.1,72.9,65,11.05
20160628,5.2,19.767,18.4,27.8,0,2.1,68.8,68,18.57
20160629,5.2,19.767,19.4,26.6,0.1,1.8,71.5,86,12.71
20160630,5.2,19.767,20.7,32.3,0,1.7,70.3,60,19.16
20160701,5.217,19.767,23.5,28.5,19.5,1.6,79.5,95,7.45
20160702,5.217,19.767,22.9,28.3,17.5,2.2,81.6,100,6.74
20160703,5.233,19.767,20.3,26.7,26,1.5,88,100,7.19
20160704,5.233,19.767,20.5,23,3,3.9,90.9,100,7.43
20160705,5.25,19.75,21.1,32.6,0.5,2.6,72.3,85,17.33
20160706,5.25,19.75,20.7,31,74.5,1.8,88.4,93,8.5
20160707,5.267,19.75,19.4,32.6,0,1.9,76.3,76,21.19
20160708,5.267,19.75,20,31.7,0,1.6,70.5,49,19.23
20160709,5.283,19.733,21.5,33.9,0,1.2,67.9,40,21.63
20160710,5.3,19.733,24.5,33.5,0,1.5,59.1,74,20.79
20160711,5.3,19.733,23.4,29.9,3.5,1.5,78.3,90,9.45
20160712,5.317,19.717,24.2,29.7,0.5,1.2,77.6,90,9.64
20160713,5.317,19.717,23.7,32.4,0.5,2.1,65.4,60,20.35
20160714,5.333,19.717,22.7,32.3,0,2.7,66.6,44,20.71
20160715,5.35,19.7,20.5,29.8,0,2.8,67.5,79,20.11
20160716,5.35,19.7,21.2,22.8,12,1.8,84.4,95,2.24
20160717,5.367,19.683,21.2,31.6,0,1.1,70.1,69,17.91
20160718,5.383,19.683,21.6,30.9,0,2,64.4,46,24.4
20160719,5.383,19.667,22.6,29.8,0.5,3.2,74.4,80,15.6
20160720,5.4,19.65,22,29,0.5,3.7,67.5,64,22.93
20160721,5.417,19.65,21.1,29.2,0,2.9,69.1,71,18.86
20160722,5.433,19.633,20.9,30.6,0,3.2,66.4,39,25.57
20160723,5.433,19.617,20.6,34,0,2,63.5,58,26.34
20160724,5.45,19.617,23.4,36,71,1.3,73.3,49,20.99
20160725,5.467,19.6,24.6,32.6,28,1.1,83.9,81,11.47
20160726,5.483,19.583,25.4,35,0,1.2,68.6,73,18.11
20160727,5.483,19.567,25.8,36.1,0,1.9,63.5,54,23.54
20160728,5.5,19.567,27.3,35.4,0,1.8,62.6,49,15.6
20160729,5.517,19.55,26.2,36,0,1.4,67.1,50,18.92
20160730,5.533,19.533,25.7,35.1,0.3,1.7,70.5,73,17.34
20160731,5.533,19.517,22.7,35.1,49.5,1.4,77,48,18.7
20160801,5.55,19.5,23.4,34.3,0,1.5,74.5,40,19.57
20160802,5.567,19.483,24.3,32.2,11,1.4,79.4,86,12.04
20160803,5.583,19.467,24,33.2,0.5,1.2,78.3,76,14.76
20160804,5.6,19.45,23.5,33.8,0,2.3,73.4,41,22.42
20160805,5.6,19.433,23.4,34.5,0,1.9,67.9,16,25.44
20160806,5.617,19.417,24.5,35.1,0,1.7,67,29,22.5
20160807,5.633,19.4,25,34.6,35,1.3,73.6,29,19.2
20160808,5.65,19.383,24.9,35.6,0,1.4,73.4,38,18.14
20160809,5.65,19.367,24.9,31.8,0,2.6,66.8,48,20.71
20160810,5.667,19.35,23,35.4,0,1.5,62.6,21,21.82
20160811,5.683,19.333,25.5,37.8,0,1.5,61,6,24.6
20160812,5.7,19.317,26.4,37.7,0,1.3,58.5,4,22.45
20160813,5.717,19.3,26.1,38.1,0,1.8,51.1,9,23.95
20160814,5.717,19.283,26.5,37,0,2.4,54.8,23,23.07
20160815,5.733,19.25,26.9,36,0,2.5,61.9,41,20.61
20160816,5.75,19.233,25.6,32.8,0.1,3,65,51,15.36
20160817,5.767,19.217,23.6,35.2,0,2.2,66.5,36,20.99
20160818,5.783,19.2,24,35,0,2.6,64.4,36,22.15
20160819,5.783,19.167,23.9,34.6,0,2.9,63.5,33,23.77
20160820,5.8,19.15,23.4,33.6,0,2.7,62.5,31,23.91
20160821,5.817,19.133,23.6,33.9,0,2.1,60.8,34,20.94
20160822,5.833,19.117,23.3,34.6,0,2.4,65.3,35,21.79
20160823,5.833,19.083,24.5,32.5,0.1,3.2,64.4,49,18.95
20160824,5.85,19.067,22.1,33.9,0,2.7,61.5,21,23.68
20160825,5.867,19.05,21,36.2,0,1.7,54.9,15,23.01
20160826,5.883,19.017,19.1,30.2,1,2.7,75.9,90,3.77
20160827,5.9,19,18.6,27.4,0,3.2,56.9,68,21.31
20160828,5.9,18.983,17.9,23,33,1.6,88.6,100,4.07
20160829,5.917,18.95,17.9,25.6,0.5,2.7,60.3,65,14.62
20160830,5.933,18.933,16.9,26,0,3,60.1,65,10.98
20160831,5.95,18.917,20.3,28.5,0,5.2,46.8,64,17.79
20160901,5.95,18.883,21.5,32.2,2,2.5,55,45,20.44
20160902,5.967,18.867,18.9,21.5,67,2,93.8,100,2.08
20160903,5.983,18.833,19.2,24.4,45.5,2.2,93.5,100,5.16
20160904,6,18.817,21.6,27.8,1,2,87.6,94,10.52
20160905,6,18.783,22,27.8,3,1.6,86.8,91,11.34
20160906,6.017,18.767,22.9,28.6,0,0.9,77.5,84,8.93
20160907,6.033,18.75,20.6,30.1,4,1,76.1,91,11.46
20160908,6.05,18.717,18,29.2,26,1.3,73.9,56,19.29
20160909,6.067,18.7,19.8,29.6,0.5,1.6,75.3,51,18.17
20160910,6.067,18.667,21.4,27.1,0,2.3,80,88,8.85
20160911,6.083,18.65,20.2,27.1,0,2.1,77,86,12.08
20160912,6.1,18.617,18.8,22.8,10,1.2,89.5,76,4.38
20160913,6.117,18.6,17.8,28.1,0,1.8,76.1,43,18.56
20160914,6.117,18.567,18.4,28.2,0,1.2,75.3,66,15.05
20160915,6.133,18.55,19.2,28.6,0,1.3,77.3,85,14.4
20160916,6.15,18.517,20.7,24.9,2.5,0.9,88,98,4.9
20160917,6.167,18.5,18.2,21,113,2,95,100,0.7
20160918,6.167,18.467,18.1,21.4,4,1.2,89.5,98,2.07
20160919,6.183,18.45,18,23.3,0,2.5,70,88,8.31
20160920,6.2,18.417,15,23.8,0,2.4,54.8,35,16.54
20160921,6.217,18.4,13.1,23.5,0,1.5,70,60,14.21
20160922,6.217,18.383,17.2,23.9,0,1.2,75.5,79,8.85
20160923,6.233,18.35,16.3,26.8,0,1.7,72.4,44,19.85
20160924,6.25,18.333,16.4,28,0,1.6,71.3,28,19.24
20160925,6.267,18.3,16.2,26.9,0,1,75.3,74,11.4
20160926,6.283,18.283,18.7,25.9,9,0.9,83.6,98,7.79
20160927,6.283,18.25,21,29.8,1,1.2,83.1,86,15.09
20160928,6.3,18.233,20.1,25.8,8.5,1.9,86.1,90,6.32
20160929,6.317,18.2,16.9,20.6,0.5,3.4,77.3,96,4.76
20160930,6.333,18.183,15.6,18.4,9,0.9,91.4,99,4.42
20161001,6.35,18.15,17,21.8,0.5,1.1,88.8,99,6.41
20161002,6.35,18.133,19,26.7,0,1.3,82.5,88,10.46
20161003,6.367,18.117,21.2,27.6,4,1,83.9,58,8.03
20161004,6.383,18.083,19,25.6,0,3.5,77.5,41,16.23
20161005,6.4,18.067,17.5,23.4,49,2.7,85.3,60,5.81
20161006,6.417,18.033,15.8,25.4,0,1.7,75.1,10,17.12
20161007,6.417,18.017,16.6,23.5,3,2.4,78.3,75,9.22
20161008,6.433,17.983,15.8,20.8,21,2.1,78.8,83,4.92
20161009,6.45,17.967,11,19,0,2.6,52.9,39,18.58
20161010,6.467,17.95,10.2,19.7,0,1.6,69.9,76,12.93
20161011,6.483,17.917,11.4,20.5,0,0.9,74.8,78,8.79
20161012,6.5,17.9,11.9,22.7,0,1.3,70.1,51,15.51
20161013,6.5,17.883,12.9,20.9,0,0.9,72.1,70,9.59
20161014,6.517,17.85,10.1,22.9,0,0.9,73.3,6,14.98
20161015,6.533,17.833,10.2,23.5,0,1.6,76.3,58,13.06
20161016,6.55,17.817,13.6,16.8,26,1,92.9,91,2.72
20161017,6.567,17.783,15.1,24.3,0,1.5,80.5,46,13.05
20161018,6.583,17.767,12.4,23.6,0,1.6,82.5,38,12.46
20161019,6.6,17.75,13.5,23.5,0,1,80.6,39,11.23
20161020,6.617,17.733,12.4,22.9,0,2.5,76.4,68,10.01
20161021,6.633,17.7,14.7,17.9,0,3,71.4,95,5.58
20161022,6.633,17.683,13.8,20.8,0,1.4,75.3,91,9.41
20161023,6.65,17.667,12.3,16.9,0,2.9,70,96,3.01
20161024,6.667,17.65,10.8,19.4,0,1.8,65.3,50,15.06
20161025,6.683,17.633,12.3,20.5,2,1,81.6,61,5.01
20161026,6.7,17.617,10.3,20.1,0,1.3,76.3,56,10.68
20161027,6.717,17.583,9.3,19.7,0,2.4,74.9,70,8.43
20161028,6.733,17.567,13.2,15.9,6,2.1,83.6,96,2.71
20161029,6.75,17.55,10.1,15.6,0,1.7,68.3,70,5.92
20161030,6.767,17.533,5.7,16.4,0,2.1,45.9,30,14.73
20161031,6.783,17.517,5.8,11.8,0,1.3,65.3,89,2.45
20161101,6.8,17.5,2.8,10.7,0,3.5,38.4,9,15.37
20161102,6.817,17.483,2.3,12.4,0,3.1,39.9,0,14.8
20161103,6.833,17.467,1.3,14.6,0,1,71.1,28,10.18
20161104,6.85,17.45,2.5,18,0,0.9,69.4,0,12.94
20161105,6.867,17.433,4.9,20.3,0,1.1,75.3,0,12.61
20161106,6.883,17.417,8.8,14.5,0,3.2,78.3,78,4.48
20161107,6.9,17.4,9.5,17.4,0,1,75.5,49,8.72
20161108,6.917,17.4,5.2,13.5,0.2,3.3,51.6,38,10.02
20161109,6.933,17.383,1.6,12,0,1.9,53.8,23,12.84
20161110,6.95,17.367,4.3,14.2,0,1.7,68.8,88,7.63
20161111,6.967,17.35,5.7,15.9,0.1,1.8,66,24,9.47
20161112,6.983,17.333,2.8,18.7,0,0.9,69.4,11,11.57
20161113,7,17.333,4.6,17.8,0,0.9,78.6,58,7.48
20161114,7.017,17.317,10.4,20.4,0,0.9,83.3,76,5.36
20161115,7.033,17.3,5.5,17,0,2.6,42.4,26,11.68
20161116,7.05,17.3,1.6,16.1,0,1.5,41.9,43,10.31
20161117,7.067,17.283,5.9,15.5,0,1.3,55.4,26,10.28
20161118,7.083,17.267,4,16.5,7.5,1,82.1,61,7.05
20161119,7.1,17.267,11.2,18.3,0.5,1,86.9,88,6.48
20161120,7.117,17.25,10.7,19.6,0,1.7,70.5,23,10.68
20161121,7.133,17.25,7.7,16.8,0,1.1,77.8,70,5.44
20161122,7.15,17.233,4.2,11.3,0,3.2,56,64,5.16
20161123,7.167,17.233,2.1,10.1,0,3.4,31.5,65,10.04
20161124,7.183,17.233,-1.3,5.8,0,4.4,31.3,0,12.48
20161125,7.2,17.217,0.2,8.2,0,2.6,43.5,28,10.41
20161126,7.217,17.217,-3,4.7,2,1.2,80.4,74,2.7
20161127,7.233,17.217,0.9,9,0,1.6,82.3,54,6.75
20161128,7.233,17.2,0.5,9,0,2.4,55.4,6,10.92
20161129,7.25,17.2,-0.1,10.2,0,1.4,42.3,25,11.07
20161130,7.267,17.2,4.8,10.6,1,0.9,68.9,93,3.22
20161201,7.283,17.2,3.7,11.8,0,3.4,56,26,7.63
20161202,7.3,17.2,1.8,10.9,0,3.6,29.8,0,11.72
20161203,7.317,17.2,-2.6,12.3,0,0.9,53.5,29,9.71
20161204,7.333,17.2,1,9.8,0,0.9,67.6,55,4.06
20161205,7.35,17.2,0.4,15.4,0,1.6,63.4,23,8.13
20161206,7.367,17.2,-1.9,8.3,0,3.1,37.5,0,11.4
20161207,7.367,17.2,-4.9,5.1,0,1,56.4,60,4.08
20161208,7.383,17.2,-2.4,10.4,0,0.8,62.6,40,9.89
20161209,7.4,17.2,1.9,10.4,0,3.1,48.1,21,9.66
20161210,7.417,17.2,-3,8.7,0,2.3,36.6,0,11.06
20161211,7.433,17.2,-4.8,8.2,0,1.2,43.5,6,10.85
20161212,7.433,17.2,-2.9,10.5,0,0.9,56.5,76,7.74
20161213,7.45,17.2,1.9,10.1,0,1,65.9,65,4.52
20161214,7.467,17.217,2.2,6.7,0,2.8,63.9,85,2.55
20161215,7.467,17.217,-2.8,3.9,0,4.4,43.3,11,10.76
20161216,7.483,17.217,-4.5,3.2,0,4.1,32.3,0,11.25
20161217,7.5,17.233,-2.8,10.5,0,1.5,57.9,16,9.34
20161218,7.5,17.233,-1.9,10.5,0,1.2,68.8,53,9.56
20161219,7.517,17.25,3.2,7.5,1.5,0.5,84.3,98,2.26
20161220,7.517,17.25,4.7,12.6,0,0.8,87.1,53,5.71
20161221,7.533,17.25,3.3,11,18.5,0.8,96.4,88,2.76
20161222,7.533,17.267,6,16.6,6,3.6,70.5,86,2.65
20161223,7.55,17.283,0.6,6.1,0,5.1,57.1,76,7.04
20161224,7.55,17.283,-1.9,5,0,1.9,60.4,53,7.63
20161225,7.567,17.3,-1.5,10.1,0,0.6,72.6,51,8.58
20161226,7.567,17.3,4.1,6.4,14.5,1,88.8,100,1.16
20161227,7.583,17.317,-1.5,6.5,0.5,4.2,53.8,43,9.47
20161228,7.583,17.333,-5.1,6.1,0,1.6,46.3,15,10.71
20161229,7.583,17.333,-2.4,3.2,0,3.8,37.5,11,10.08
20161230,7.583,17.35,-3.1,5.5,0,3.2,38.8,11,11.21
20161231,7.6,17.367,-2.2,7.9,0,1.5,68.6,31,7.27
20170101,7.6,17.383,-2,10,0,1,73.3,34,8.56
20170102,7.6,17.383,-0.4,12.3,0,1.4,73.4,24,9.27
20170103,7.6,17.4,0.9,10.9,0,2,49.8,0,10.24
20170104,7.6,17.417,-1.9,11.2,0,1.1,66,21,7.76
20170105,7.6,17.433,-1.6,7.6,0,2,80,61,3.03
20170106,7.6,17.45,0.7,8.4,0,1.3,71.9,51,4.21
20170107,7.6,17.45,-2.7,8.1,0,0.5,75.9,61,6.38
20170108,7.6,17.467,4.4,13,0,0.6,70.1,75,6.35
20170109,7.6,17.483,2.2,9.4,0,3.7,49.8,40,7.81
20170110,7.6,17.5,-0.7,5.5,0,4.3,45,11,11.11
20170111,7.6,17.517,-4.6,3.3,0,4.2,37.6,16,11.44
20170112,7.6,17.533,-3.9,8.2,0,2.8,50.6,20,9.06
20170113,7.6,17.55,-3.2,4.7,0,4,40.6,16,7.14
20170114,7.583,17.567,-6.8,-0.7,0,5.3,35.1,0,12.17
20170115,7.583,17.583,-8.2,2.8,0,3.6,26.1,0,12.39
20170116,7.583,17.6,-7.2,5.6,0,1.7,41.8,1,11.86
20170117,7.583,17.617,-7.8,7.1,0,0.9,49.4,38,9.51
20170118,7.567,17.633,-3.3,6.6,0,2,48.6,39,8.6
20170119,7.567,17.65,-4.3,8.3,0,0.8,67.3,23,9.57
20170120,7.55,17.667,-3.7,1.8,0.7,3.9,61.3,46,7.47
20170121,7.55,17.683,-6.8,3.3,0,2.2,55.6,23,10.78
20170122,7.55,17.7,-5.6,-0.4,1.5,5,55.3,21,12.24
20170123,7.533,17.717,-7.8,-0.5,0,4,43.1,0,12.41
20170124,7.533,17.733,-6.8,2.4,0,2.9,41,0,12.89
